Age_Group,Gender,Occupation,City_Tier,Income,Monthly_Spending,Monthly_Savings,Budget_Following,Spending_Category,Tracking_Frequency,Food_Order_Frequency,Impulse_Purchase,Subscriptions,Spending_Trigger,Post_Spending_Feeling,Purchase_Decision,Discount_Influence,Financial_Goal,Financial_Awareness,Discipline_Score,App_Usage,App_Drop_Reason,Preferred_Feature,Spending_Combination,Lifestyle,App_Interest
18-24,Male,Student,Tier2,50000-100000,36019,14527,Yes,Bills,Occasionally,Rarely,Never,0,Social,Dont notice,Compare,Strongly,Debt,No,1,No,Not useful,Spending prediction,Food+Shopping,Balanced,Maybe
45+,Female,Student,Tier2,100000+,104570,32864,No,Travel,Occasionally,Rarely,Sometimes,3,Emotional,Neutral,Compare,Moderate,Saving,No,5,No,Not useful,Saving suggestions,Food+Shopping,Minimalist,Maybe
18-24,Female,Student,Tier1,Below 20000,12377,2796,No,Bills,Occasionally,3-4/week,Never,0,Need-based,Dont notice,Compare,Not at all,Managing expenses,Yes,4,Yes,None,Expense tracking,Food+Shopping,Minimalist,Maybe
35-44,Female,Professional,Tier1,Below 20000,11753,1085,Yes,Bills,Never,Rarely,Sometimes,5,Discounts,Guilty,Compare,Not at all,Investing,No,3,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Luxury,Yes
45+,Female,Homemaker,Tier3,100000+,84321,22530,Yes,Travel,Never,Daily,Sometimes,3,Social,Neutral,Compare,Not at all,Saving,Yes,5,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Minimalist,No
45+,Female,Self-employed,Tier1,50000-100000,63333,17915,Yes,Shopping,Daily,Rarely,Sometimes,5,Emotional,Guilty,Compare,Strongly,Debt,Yes,5,Yes,Not useful,Budget alerts,Subscriptions+Entertainment,Minimalist,Yes
45+,Male,Self-employed,Tier3,50000-100000,55962,13779,Yes,Entertainment,Never,Rarely,Never,2,Discounts,Dont notice,Compare,Strongly,Investing,Yes,2,No,Not useful,Spending prediction,Subscriptions+Entertainment,Minimalist,Maybe
18-24,Male,Student,Tier1,100000+,112560,31054,No,Food,Daily,Daily,Sometimes,2,Emotional,Dont notice,Plan,Not at all,Saving,Yes,4,No,Time-consuming,Expense tracking,Shopping+Travel,Balanced,Yes
18-24,Female,Student,Tier2,Below 20000,13000,2152,No,Food,Daily,Rarely,Sometimes,5,Emotional,Dont notice,Compare,Not at all,Saving,Yes,5,Yes,Not useful,Expense tracking,Shopping+Travel,Luxury,Yes
35-44,Male,Student,Tier3,100000+,76982,36985,No,Food,Never,3-4/week,Sometimes,5,Need-based,Guilty,Compare,Not at all,Saving,No,5,Yes,None,Budget alerts,Food+Shopping,Luxury,Yes
45+,Female,Self-employed,Tier1,50000-100000,36521,5207,No,Travel,Daily,Rarely,Rarely,4,Social,Guilty,Plan,Not at all,Investing,Yes,3,Yes,Not useful,Spending prediction,Food+Entertainment,Luxury,Yes
35-44,Female,Self-employed,Tier3,20000-50000,27267,2065,No,Bills,Never,Rarely,Rarely,2,Emotional,Neutral,Instant,Moderate,Saving,Yes,3,Yes,Time-consuming,Spending prediction,Food+Entertainment,Luxury,Maybe
18-24,Female,Professional,Tier2,20000-50000,33713,3119,No,Food,Weekly,Weekly,Sometimes,2,Need-based,Dont notice,Compare,Strongly,Managing expenses,No,2,No,Time-consuming,Expense tracking,Food+Entertainment,Minimalist,Maybe
25-34,Female,Student,Tier3,100000+,60474,13101,No,Food,Daily,3-4/week,Sometimes,5,Need-based,Guilty,Instant,Not at all,Investing,No,4,Yes,None,Expense tracking,Food+Shopping,Minimalist,No
45+,Male,Homemaker,Tier1,100000+,92339,15830,Yes,Entertainment,Weekly,Weekly,Never,5,Emotional,Dont notice,Compare,Moderate,Debt,Yes,1,No,None,Expense tracking,Subscriptions+Entertainment,Balanced,Yes
18-24,Female,Student,Tier2,100000+,78527,19174,Yes,Shopping,Daily,Rarely,Rarely,4,Discounts,Neutral,Compare,Not at all,Debt,Sometimes,4,Yes,Too manual,Budget alerts,Food+Shopping,Balanced,No
18-24,Female,Self-employed,Tier3,50000-100000,51027,13790,No,Bills,Never,Rarely,Never,3,Need-based,Guilty,Plan,Strongly,Investing,Yes,1,Yes,Too manual,Expense tracking,Food+Entertainment,Luxury,No
35-44,Male,Professional,Tier3,50000-100000,37346,19855,No,Entertainment,Weekly,Rarely,Rarely,1,Social,Dont notice,Instant,Moderate,Saving,Yes,4,Yes,Time-consuming,Budget alerts,Shopping+Travel,Minimalist,Maybe
18-24,Female,Student,Tier3,20000-50000,33029,6397,No,Shopping,Daily,Daily,Sometimes,2,Emotional,Neutral,Compare,Moderate,Debt,No,1,Yes,Not useful,Spending prediction,Food+Shopping,Minimalist,Yes
35-44,Female,Professional,Tier2,100000+,84740,11827,No,Shopping,Daily,Rarely,Rarely,5,Need-based,Neutral,Plan,Moderate,Saving,Yes,2,No,Too manual,Expense tracking,Shopping+Travel,Minimalist,Maybe
45+,Male,Professional,Tier3,20000-50000,36574,2433,No,Entertainment,Daily,Daily,Rarely,2,Emotional,Dont notice,Compare,Not at all,Debt,Sometimes,3,Yes,None,Spending prediction,Food+Shopping,Luxury,Maybe
18-24,Male,Student,Tier3,Below 20000,8285,2053,No,Food,Occasionally,Rarely,Sometimes,0,Discounts,Guilty,Compare,Not at all,Saving,No,2,No,Too manual,Expense tracking,Shopping+Travel,Luxury,Yes
25-34,Female,Homemaker,Tier3,Below 20000,35412,2642,No,Bills,Occasionally,3-4/week,Sometimes,1,Need-based,Guilty,Compare,Moderate,Saving,Sometimes,1,Yes,Too manual,Saving suggestions,Subscriptions+Entertainment,Balanced,Yes
35-44,Male,Homemaker,Tier3,50000-100000,63675,9378,Yes,Travel,Daily,3-4/week,Sometimes,0,Emotional,Neutral,Instant,Moderate,Saving,Sometimes,2,No,Time-consuming,Expense tracking,Food+Entertainment,Luxury,Maybe
25-34,Female,Professional,Tier3,20000-50000,37417,4303,Yes,Entertainment,Occasionally,Rarely,Sometimes,0,Emotional,Neutral,Compare,Moderate,Saving,No,5,No,Not useful,Spending prediction,Shopping+Travel,Balanced,Yes
35-44,Male,Self-employed,Tier3,20000-50000,38676,7379,No,Shopping,Weekly,3-4/week,Never,3,Need-based,Neutral,Instant,Strongly,Saving,Sometimes,4,Yes,Not useful,Saving suggestions,Food+Entertainment,Minimalist,Maybe
25-34,Male,Student,Tier3,100000+,79533,37999,Yes,Food,Weekly,3-4/week,Very often,1,Social,Neutral,Compare,Strongly,Saving,Yes,1,No,Time-consuming,Budget alerts,Food+Shopping,Luxury,Yes
18-24,Male,Self-employed,Tier1,Below 20000,15568,145,No,Entertainment,Daily,Daily,Never,0,Social,Guilty,Plan,Not at all,Managing expenses,Sometimes,1,Yes,Time-consuming,Budget alerts,Shopping+Travel,Balanced,Maybe
25-34,Male,Self-employed,Tier1,100000+,110506,28200,No,Shopping,Never,Weekly,Never,1,Social,Guilty,Plan,Moderate,Investing,No,2,No,Not useful,Budget alerts,Food+Shopping,Minimalist,No
25-34,Male,Student,Tier1,Below 20000,13571,2860,Yes,Food,Daily,3-4/week,Rarely,2,Discounts,Neutral,Instant,Moderate,Saving,Sometimes,2,No,Time-consuming,Saving suggestions,Food+Entertainment,Luxury,No
45+,Female,Professional,Tier1,100000+,104635,14895,No,Bills,Occasionally,Daily,Never,2,Discounts,Guilty,Instant,Moderate,Saving,Sometimes,1,Yes,Not useful,Expense tracking,Subscriptions+Entertainment,Minimalist,No
45+,Male,Student,Tier2,Below 20000,16703,710,No,Entertainment,Never,Daily,Rarely,5,Need-based,Guilty,Instant,Not at all,Saving,Sometimes,4,No,None,Budget alerts,Food+Entertainment,Minimalist,Maybe
45+,Male,Student,Tier1,100000+,95350,23250,No,Shopping,Occasionally,Rarely,Very often,3,Discounts,Dont notice,Compare,Strongly,Managing expenses,Yes,2,Yes,None,Expense tracking,Subscriptions+Entertainment,Balanced,Maybe
18-24,Male,Student,Tier2,Below 20000,9758,1946,No,Food,Daily,Weekly,Never,1,Discounts,Neutral,Compare,Not at all,Managing expenses,Sometimes,3,Yes,Time-consuming,Spending prediction,Shopping+Travel,Minimalist,Yes
25-34,Female,Self-employed,Tier2,20000-50000,32733,4418,Yes,Bills,Weekly,3-4/week,Sometimes,1,Need-based,Dont notice,Plan,Moderate,Managing expenses,Sometimes,2,No,Time-consuming,Saving suggestions,Food+Entertainment,Minimalist,Yes
45+,Male,Homemaker,Tier1,Below 20000,18166,1399,No,Food,Occasionally,Rarely,Never,3,Emotional,Dont notice,Compare,Moderate,Managing expenses,No,4,Yes,Too manual,Expense tracking,Food+Shopping,Luxury,No
25-34,Male,Student,Tier2,100000+,96141,31345,Yes,Travel,Daily,Daily,Sometimes,3,Social,Dont notice,Compare,Strongly,Saving,Yes,5,Yes,Too manual,Expense tracking,Food+Shopping,Minimalist,No
25-34,Male,Self-employed,Tier2,Below 20000,16423,785,Yes,Travel,Never,Daily,Never,5,Need-based,Dont notice,Plan,Strongly,Debt,Yes,3,Yes,Time-consuming,Saving suggestions,Food+Shopping,Luxury,Yes
45+,Female,Professional,Tier3,Below 20000,15169,2155,Yes,Bills,Never,3-4/week,Never,5,Discounts,Neutral,Compare,Strongly,Managing expenses,No,4,No,Time-consuming,Saving suggestions,Subscriptions+Entertainment,Balanced,No
25-34,Male,Professional,Tier2,100000+,109778,23573,Yes,Entertainment,Never,Weekly,Rarely,1,Discounts,Guilty,Compare,Not at all,Debt,No,2,Yes,None,Spending prediction,Food+Shopping,Luxury,Maybe
25-34,Female,Self-employed,Tier1,20000-50000,25834,5410,Yes,Food,Never,Daily,Never,3,Discounts,Guilty,Compare,Not at all,Saving,No,2,No,Time-consuming,Budget alerts,Food+Shopping,Minimalist,Yes
25-34,Male,Student,Tier1,Below 20000,14905,2089,No,Travel,Weekly,3-4/week,Rarely,0,Emotional,Neutral,Instant,Moderate,Saving,Yes,5,Yes,Not useful,Saving suggestions,Shopping+Travel,Luxury,No
45+,Female,Professional,Tier2,50000-100000,52296,8162,No,Bills,Occasionally,Rarely,Rarely,4,Need-based,Dont notice,Instant,Moderate,Debt,Sometimes,1,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Minimalist,Yes
25-34,Female,Homemaker,Tier3,100000+,117811,31303,No,Shopping,Never,3-4/week,Never,5,Need-based,Guilty,Instant,Moderate,Debt,Sometimes,2,No,Not useful,Spending prediction,Shopping+Travel,Luxury,No
35-44,Male,Self-employed,Tier2,50000-100000,31296,15887,No,Entertainment,Daily,Weekly,Very often,1,Discounts,Guilty,Instant,Moderate,Saving,No,4,Yes,Not useful,Expense tracking,Food+Entertainment,Balanced,Maybe
25-34,Female,Student,Tier2,Below 20000,16190,1841,Yes,Entertainment,Occasionally,Rarely,Very often,3,Discounts,Neutral,Compare,Strongly,Managing expenses,Yes,2,No,Not useful,Saving suggestions,Food+Entertainment,Luxury,Maybe
18-24,Female,Student,Tier2,100000+,75305,17819,Yes,Entertainment,Never,3-4/week,Sometimes,4,Emotional,Guilty,Plan,Not at all,Debt,Sometimes,3,Yes,Time-consuming,Saving suggestions,Food+Shopping,Minimalist,Yes
25-34,Female,Student,Tier1,100000+,89614,28641,Yes,Food,Occasionally,3-4/week,Rarely,3,Social,Dont notice,Instant,Moderate,Debt,Yes,5,Yes,Time-consuming,Spending prediction,Shopping+Travel,Luxury,Maybe
25-34,Male,Student,Tier1,100000+,86272,29948,Yes,Food,Weekly,Weekly,Sometimes,0,Social,Neutral,Plan,Strongly,Managing expenses,Sometimes,1,Yes,Not useful,Expense tracking,Subscriptions+Entertainment,Balanced,Maybe
35-44,Female,Student,Tier1,100000+,78507,38020,Yes,Travel,Daily,Weekly,Rarely,5,Discounts,Dont notice,Instant,Moderate,Managing expenses,Sometimes,4,No,Time-consuming,Spending prediction,Food+Entertainment,Minimalist,Yes
45+,Female,Self-employed,Tier3,100000+,85637,27501,Yes,Food,Daily,Daily,Never,5,Social,Dont notice,Plan,Not at all,Managing expenses,Sometimes,3,Yes,Time-consuming,Saving suggestions,Shopping+Travel,Luxury,Maybe
18-24,Female,Student,Tier3,50000-100000,56105,12534,Yes,Shopping,Never,Rarely,Never,5,Emotional,Dont notice,Instant,Moderate,Saving,No,5,Yes,Not useful,Expense tracking,Shopping+Travel,Balanced,No
45+,Male,Self-employed,Tier3,100000+,93702,20230,No,Shopping,Never,3-4/week,Sometimes,5,Discounts,Guilty,Plan,Moderate,Managing expenses,Yes,3,No,None,Saving suggestions,Shopping+Travel,Luxury,Yes
45+,Male,Student,Tier3,20000-50000,34703,2106,No,Entertainment,Never,Rarely,Never,1,Emotional,Dont notice,Plan,Not at all,Debt,Sometimes,3,Yes,Not useful,Spending prediction,Food+Shopping,Luxury,Maybe
18-24,Male,Student,Tier2,20000-50000,27731,9024,No,Shopping,Occasionally,Daily,Very often,4,Social,Neutral,Plan,Moderate,Debt,Yes,5,No,None,Budget alerts,Food+Shopping,Minimalist,Yes
45+,Female,Self-employed,Tier3,20000-50000,31170,3381,No,Travel,Occasionally,Rarely,Sometimes,0,Need-based,Dont notice,Plan,Moderate,Debt,Yes,5,No,Not useful,Spending prediction,Shopping+Travel,Minimalist,Maybe
35-44,Male,Professional,Tier1,Below 20000,10602,2674,Yes,Entertainment,Never,Daily,Rarely,1,Discounts,Guilty,Instant,Moderate,Debt,No,5,No,None,Saving suggestions,Food+Entertainment,Minimalist,No
45+,Male,Self-employed,Tier2,20000-50000,17915,6406,Yes,Bills,Daily,Weekly,Sometimes,5,Need-based,Neutral,Plan,Moderate,Saving,No,5,Yes,Time-consuming,Spending prediction,Subscriptions+Entertainment,Minimalist,No
18-24,Female,Student,Tier2,Below 20000,25210,2136,No,Entertainment,Never,3-4/week,Very often,3,Emotional,Neutral,Compare,Not at all,Saving,Yes,2,Yes,Too manual,Expense tracking,Subscriptions+Entertainment,Luxury,Yes
25-34,Female,Homemaker,Tier3,20000-50000,20426,2246,No,Travel,Daily,Rarely,Never,4,Discounts,Dont notice,Instant,Strongly,Managing expenses,No,4,Yes,None,Expense tracking,Shopping+Travel,Minimalist,Maybe
18-24,Female,Student,Tier1,100000+,55459,25887,Yes,Bills,Never,Weekly,Never,1,Emotional,Dont notice,Plan,Moderate,Managing expenses,Yes,5,Yes,Time-consuming,Saving suggestions,Food+Shopping,Balanced,Yes
18-24,Female,Student,Tier1,50000-100000,40702,10214,Yes,Shopping,Daily,Daily,Very often,2,Social,Neutral,Plan,Moderate,Managing expenses,Yes,2,No,Not useful,Budget alerts,Food+Shopping,Luxury,Yes
45+,Male,Self-employed,Tier1,50000-100000,53103,18467,Yes,Travel,Never,Daily,Sometimes,1,Discounts,Neutral,Compare,Not at all,Managing expenses,Yes,2,Yes,Time-consuming,Expense tracking,Subscriptions+Entertainment,Minimalist,Yes
25-34,Male,Professional,Tier3,100000+,50480,18277,No,Shopping,Never,3-4/week,Never,1,Discounts,Dont notice,Instant,Not at all,Debt,Yes,4,Yes,Time-consuming,Spending prediction,Shopping+Travel,Luxury,Maybe
25-34,Female,Student,Tier2,20000-50000,15668,6002,Yes,Travel,Daily,Daily,Rarely,0,Social,Guilty,Instant,Strongly,Investing,Yes,1,No,Too manual,Saving suggestions,Subscriptions+Entertainment,Luxury,Yes
45+,Female,Student,Tier1,100000+,112118,21885,No,Food,Daily,Rarely,Never,3,Discounts,Neutral,Compare,Not at all,Managing expenses,Sometimes,2,Yes,Too manual,Saving suggestions,Food+Shopping,Luxury,Yes
25-34,Female,Homemaker,Tier3,100000+,79575,22219,Yes,Travel,Weekly,3-4/week,Never,1,Emotional,Neutral,Compare,Moderate,Managing expenses,No,5,No,Too manual,Budget alerts,Shopping+Travel,Balanced,No
45+,Female,Student,Tier1,100000+,93523,13589,No,Shopping,Never,Weekly,Sometimes,2,Need-based,Guilty,Compare,Not at all,Managing expenses,Sometimes,4,No,Too manual,Budget alerts,Shopping+Travel,Balanced,No
35-44,Male,Student,Tier3,Below 20000,17636,2929,No,Food,Never,3-4/week,Sometimes,3,Discounts,Neutral,Plan,Moderate,Managing expenses,No,3,Yes,None,Expense tracking,Subscriptions+Entertainment,Luxury,Yes
18-24,Male,Student,Tier3,50000-100000,33860,9817,Yes,Entertainment,Daily,3-4/week,Sometimes,4,Emotional,Guilty,Instant,Strongly,Debt,Sometimes,5,Yes,Time-consuming,Expense tracking,Shopping+Travel,Luxury,Yes
18-24,Female,Student,Tier2,50000-100000,45680,12329,Yes,Travel,Occasionally,Daily,Sometimes,2,Discounts,Neutral,Plan,Not at all,Debt,Yes,5,No,Time-consuming,Spending prediction,Food+Shopping,Luxury,Yes
18-24,Female,Student,Tier3,100000+,60654,20419,No,Entertainment,Weekly,Daily,Rarely,0,Social,Dont notice,Instant,Moderate,Debt,No,3,No,Too manual,Spending prediction,Shopping+Travel,Minimalist,Yes
35-44,Female,Self-employed,Tier2,20000-50000,29672,6344,No,Shopping,Daily,3-4/week,Rarely,5,Need-based,Guilty,Compare,Strongly,Managing expenses,Yes,5,Yes,Time-consuming,Expense tracking,Shopping+Travel,Balanced,No
18-24,Male,Student,Tier2,Below 20000,9195,1354,Yes,Food,Never,3-4/week,Very often,3,Social,Neutral,Instant,Moderate,Investing,Yes,4,No,Not useful,Spending prediction,Food+Shopping,Balanced,Maybe
45+,Male,Homemaker,Tier3,Below 20000,16253,1791,Yes,Entertainment,Never,Daily,Very often,0,Discounts,Neutral,Compare,Not at all,Managing expenses,No,2,No,Not useful,Expense tracking,Shopping+Travel,Balanced,Maybe
25-34,Male,Student,Tier1,Below 20000,16583,805,No,Travel,Weekly,Daily,Never,4,Need-based,Guilty,Plan,Strongly,Debt,Sometimes,2,Yes,Too manual,Saving suggestions,Subscriptions+Entertainment,Minimalist,Yes
25-34,Male,Student,Tier2,50000-100000,52240,9098,No,Bills,Weekly,Weekly,Sometimes,5,Social,Guilty,Compare,Moderate,Saving,Sometimes,2,Yes,None,Budget alerts,Shopping+Travel,Minimalist,Yes
18-24,Male,Student,Tier2,20000-50000,35090,3619,No,Food,Weekly,Rarely,Very often,4,Discounts,Neutral,Compare,Moderate,Investing,Yes,2,No,None,Spending prediction,Food+Shopping,Balanced,Yes
18-24,Female,Student,Tier2,100000+,51347,35889,Yes,Food,Occasionally,Rarely,Never,1,Social,Guilty,Plan,Not at all,Debt,Yes,5,No,Not useful,Expense tracking,Food+Entertainment,Balanced,No
25-34,Male,Professional,Tier3,50000-100000,69683,9468,No,Food,Weekly,Weekly,Rarely,3,Social,Dont notice,Plan,Not at all,Debt,Sometimes,4,Yes,None,Spending prediction,Food+Shopping,Luxury,Yes
45+,Male,Self-employed,Tier3,Below 20000,15171,2667,No,Bills,Never,Weekly,Very often,4,Emotional,Neutral,Plan,Strongly,Saving,No,1,Yes,None,Spending prediction,Shopping+Travel,Luxury,Yes
45+,Female,Self-employed,Tier3,20000-50000,23979,2554,No,Entertainment,Weekly,Weekly,Very often,4,Emotional,Neutral,Plan,Not at all,Debt,No,1,Yes,None,Expense tracking,Food+Shopping,Luxury,Yes
45+,Male,Homemaker,Tier2,20000-50000,34674,4188,Yes,Shopping,Never,3-4/week,Sometimes,4,Need-based,Guilty,Instant,Moderate,Managing expenses,Sometimes,3,No,None,Saving suggestions,Food+Entertainment,Minimalist,Maybe
45+,Male,Professional,Tier2,20000-50000,79724,9073,Yes,Bills,Daily,Daily,Never,0,Need-based,Neutral,Compare,Not at all,Saving,No,3,No,None,Budget alerts,Food+Shopping,Balanced,Yes
18-24,Female,Student,Tier2,50000-100000,60637,11435,Yes,Entertainment,Occasionally,Rarely,Rarely,4,Discounts,Guilty,Instant,Strongly,Investing,No,5,No,Too manual,Budget alerts,Shopping+Travel,Minimalist,Maybe
25-34,Male,Student,Tier3,20000-50000,33774,5396,No,Food,Occasionally,Weekly,Never,3,Social,Guilty,Plan,Strongly,Investing,No,2,Yes,Not useful,Budget alerts,Food+Entertainment,Balanced,No
25-34,Male,Student,Tier1,Below 20000,12071,1680,Yes,Shopping,Occasionally,Weekly,Sometimes,2,Social,Dont notice,Instant,Not at all,Debt,Sometimes,5,Yes,Time-consuming,Spending prediction,Food+Shopping,Minimalist,Maybe
45+,Male,Self-employed,Tier2,50000-100000,34320,17094,Yes,Shopping,Never,Weekly,Never,1,Social,Neutral,Plan,Strongly,Investing,No,5,No,Not useful,Spending prediction,Shopping+Travel,Balanced,No
45+,Female,Student,Tier1,Below 20000,13502,20,Yes,Food,Occasionally,Weekly,Never,4,Need-based,Dont notice,Compare,Not at all,Saving,No,5,No,Not useful,Expense tracking,Food+Shopping,Luxury,Yes
18-24,Male,Student,Tier1,100000+,52612,18065,No,Food,Daily,Daily,Never,5,Emotional,Dont notice,Instant,Moderate,Investing,Sometimes,1,Yes,Not useful,Expense tracking,Food+Shopping,Balanced,Yes
25-34,Male,Self-employed,Tier2,Below 20000,13223,2181,No,Shopping,Daily,Daily,Rarely,4,Social,Neutral,Instant,Moderate,Debt,No,4,Yes,Not useful,Budget alerts,Food+Entertainment,Minimalist,Maybe
45+,Male,Self-employed,Tier3,Below 20000,9022,559,Yes,Travel,Weekly,Weekly,Very often,4,Need-based,Guilty,Compare,Strongly,Debt,No,4,Yes,None,Expense tracking,Shopping+Travel,Minimalist,Maybe
45+,Male,Self-employed,Tier3,Below 20000,10627,969,Yes,Food,Occasionally,Rarely,Rarely,3,Social,Dont notice,Instant,Moderate,Investing,Sometimes,4,No,Not useful,Budget alerts,Subscriptions+Entertainment,Minimalist,No
35-44,Male,Homemaker,Tier1,100000+,54115,18480,Yes,Travel,Weekly,Weekly,Never,5,Social,Guilty,Plan,Moderate,Managing expenses,Sometimes,2,No,Time-consuming,Spending prediction,Shopping+Travel,Luxury,Maybe
45+,Female,Student,Tier3,20000-50000,36481,4189,No,Travel,Occasionally,Rarely,Very often,1,Need-based,Neutral,Plan,Not at all,Investing,No,3,No,Time-consuming,Spending prediction,Subscriptions+Entertainment,Balanced,Maybe
18-24,Female,Self-employed,Tier2,20000-50000,38348,9386,No,Bills,Never,Weekly,Rarely,5,Discounts,Guilty,Compare,Not at all,Saving,Sometimes,3,Yes,Time-consuming,Spending prediction,Food+Shopping,Minimalist,Maybe
18-24,Female,Student,Tier1,20000-50000,28188,7278,Yes,Bills,Daily,3-4/week,Very often,4,Need-based,Dont notice,Plan,Not at all,Debt,Sometimes,5,Yes,Time-consuming,Spending prediction,Food+Entertainment,Balanced,No
35-44,Female,Student,Tier3,50000-100000,61442,6816,Yes,Shopping,Daily,Weekly,Rarely,2,Need-based,Guilty,Plan,Moderate,Debt,Yes,1,No,None,Saving suggestions,Food+Shopping,Minimalist,Maybe
18-24,Female,Student,Tier1,20000-50000,35052,6103,No,Entertainment,Daily,3-4/week,Never,4,Social,Neutral,Compare,Not at all,Saving,No,1,Yes,Not useful,Spending prediction,Subscriptions+Entertainment,Balanced,No
35-44,Male,Student,Tier2,50000-100000,30623,6837,No,Travel,Occasionally,Weekly,Very often,3,Need-based,Guilty,Compare,Strongly,Saving,Sometimes,3,Yes,Too manual,Saving suggestions,Subscriptions+Entertainment,Luxury,Maybe
45+,Female,Student,Tier3,20000-50000,27424,3324,No,Entertainment,Occasionally,3-4/week,Very often,2,Emotional,Neutral,Instant,Not at all,Managing expenses,Sometimes,2,Yes,Time-consuming,Expense tracking,Subscriptions+Entertainment,Luxury,Maybe
18-24,Male,Student,Tier1,Below 20000,10851,2100,Yes,Food,Never,Daily,Never,4,Social,Neutral,Plan,Strongly,Investing,No,5,Yes,Too manual,Expense tracking,Shopping+Travel,Minimalist,Maybe
35-44,Female,Professional,Tier3,50000-100000,66989,7118,No,Travel,Occasionally,Rarely,Rarely,4,Discounts,Dont notice,Plan,Moderate,Saving,Yes,5,Yes,Time-consuming,Spending prediction,Shopping+Travel,Luxury,No
18-24,Female,Homemaker,Tier2,20000-50000,23909,6825,No,Entertainment,Occasionally,3-4/week,Very often,1,Need-based,Guilty,Plan,Moderate,Investing,Yes,3,No,None,Saving suggestions,Food+Shopping,Minimalist,Yes
45+,Male,Student,Tier2,20000-50000,24960,9523,No,Bills,Weekly,Weekly,Very often,4,Need-based,Guilty,Instant,Not at all,Saving,No,2,Yes,Too manual,Saving suggestions,Subscriptions+Entertainment,Minimalist,Maybe
35-44,Female,Professional,Tier3,Below 20000,15391,112,Yes,Travel,Daily,Rarely,Never,2,Need-based,Neutral,Compare,Not at all,Saving,Yes,4,No,None,Saving suggestions,Subscriptions+Entertainment,Minimalist,Yes
25-34,Male,Professional,Tier1,100000+,114601,19924,Yes,Entertainment,Occasionally,Daily,Never,3,Need-based,Dont notice,Instant,Strongly,Investing,Yes,4,No,Time-consuming,Budget alerts,Shopping+Travel,Minimalist,Yes
35-44,Male,Student,Tier2,50000-100000,64430,8678,No,Shopping,Daily,3-4/week,Very often,5,Social,Neutral,Plan,Moderate,Managing expenses,Yes,1,No,Too manual,Saving suggestions,Food+Shopping,Minimalist,Yes
45+,Female,Homemaker,Tier3,100000+,77105,31497,No,Entertainment,Daily,Rarely,Rarely,5,Need-based,Dont notice,Instant,Moderate,Debt,Yes,5,No,Not useful,Expense tracking,Food+Shopping,Balanced,No
35-44,Male,Student,Tier2,Below 20000,13470,332,Yes,Shopping,Weekly,Weekly,Never,3,Social,Neutral,Plan,Strongly,Saving,Yes,5,No,Too manual,Spending prediction,Food+Shopping,Luxury,Yes
25-34,Female,Professional,Tier2,Below 20000,12312,319,Yes,Entertainment,Occasionally,Weekly,Sometimes,5,Need-based,Guilty,Instant,Not at all,Debt,Sometimes,1,Yes,Too manual,Budget alerts,Food+Shopping,Balanced,Maybe
35-44,Female,Professional,Tier3,Below 20000,33430,2665,Yes,Entertainment,Occasionally,Rarely,Sometimes,1,Discounts,Neutral,Compare,Not at all,Managing expenses,No,1,No,Time-consuming,Expense tracking,Food+Shopping,Minimalist,Yes
35-44,Male,Homemaker,Tier3,20000-50000,24537,8304,No,Bills,Weekly,Daily,Never,5,Discounts,Neutral,Instant,Strongly,Investing,Yes,4,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Balanced,Yes
35-44,Female,Professional,Tier1,100000+,84862,32306,Yes,Travel,Never,Rarely,Very often,3,Need-based,Neutral,Plan,Strongly,Managing expenses,Sometimes,2,Yes,Too manual,Saving suggestions,Subscriptions+Entertainment,Minimalist,Yes
25-34,Female,Professional,Tier1,20000-50000,23873,6040,No,Shopping,Never,Weekly,Very often,3,Need-based,Dont notice,Compare,Not at all,Investing,Sometimes,2,No,Too manual,Saving suggestions,Subscriptions+Entertainment,Balanced,Yes
35-44,Female,Homemaker,Tier3,50000-100000,69764,19439,No,Bills,Occasionally,Weekly,Sometimes,4,Social,Guilty,Instant,Not at all,Investing,Sometimes,3,Yes,Too manual,Expense tracking,Subscriptions+Entertainment,Minimalist,Maybe
35-44,Male,Self-employed,Tier1,50000-100000,61116,8109,No,Bills,Daily,Daily,Never,1,Emotional,Guilty,Plan,Moderate,Debt,No,4,No,None,Spending prediction,Food+Entertainment,Balanced,No
25-34,Male,Homemaker,Tier2,50000-100000,41434,18428,Yes,Travel,Daily,3-4/week,Sometimes,3,Emotional,Dont notice,Instant,Not at all,Saving,No,4,No,None,Spending prediction,Food+Entertainment,Balanced,Yes
18-24,Male,Student,Tier2,Below 20000,16340,1295,No,Travel,Never,Daily,Very often,1,Emotional,Dont notice,Plan,Strongly,Saving,No,4,No,Too manual,Budget alerts,Food+Entertainment,Balanced,No
45+,Male,Student,Tier1,20000-50000,31721,9759,No,Food,Never,Weekly,Sometimes,2,Discounts,Neutral,Instant,Not at all,Managing expenses,No,3,No,Time-consuming,Spending prediction,Food+Shopping,Minimalist,Yes
